ID,session,trialNr,mod2Stim,visStimLeft,visStimRight,correctKey,frequency,rewardAccurate,probFB,stimPairLeft,stimPairRight,leftCorrect,rightCorrect,pCorrectLeft,pCorrectRight,triplet,surprise,0A belief,1A belief,2A belief,3A belief,0B belief,1B belief,2B belief,3B belief,0C belief,1C belief,2C belief,3C belief,0D belief,1D belief,2D belief,3D belief,reactionTime,choice,choiceLeft,choiceRight,chosenPair,otherPair,beliefPair,beliefOtherPair,beliefPairNorm,beliefOtherPairNorm,choiceAccurate,reward,rewardPE,update2,sim_percModel,sim_respModel,sim_startBelief,sim_alpha1,sim_nonDecisionTime,sim_weight,sim_startingBoundary,sim_startingPoint,lik,corrLik,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL
101,1,11,B,0,1,l,63,1,1,0B,1B,0,1,0,1,B01,2.56494935746154,0.999982781674395,0.5,0.5,0.5,0.5,0.999999898958131,0.5,0.5,0.5,0.5,0.999999898958131,0.5,0.5,0.5,0.5,0.999982781674395,5.59465595866308,0,0,1,1B,0B,0.999999898958131,0.5,0.666666644212916,0.333333355787084,1,1,1.01041869315921e-07,1.00448927842555e-07,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.00501214786376702,0.987321811387747,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846
101,1,12,C,2,0,a,27,1,1,2C,0C,1,0,1,0,C20,3.29583686600433,0.999982781674395,0.5,0.5,0.5,0.5,0.999999999407059,0.5,0.5,0.5,0.5,0.999999898958131,0.5,0.5,0.5,0.5,0.999982781674395,1.61165595866308,1,1,0,2C,0C,0.999999898958131,0.5,0.666666644212916,0.333333355787084,1,1,1.01041869315921e-07,1.00448927842555e-07,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.601694171043036,0.987378609139865,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846
101,1,13,D,2,3,l,63,1,1,2D,3D,0,1,0,1,D23,2.63905732961526,0.999982781674395,0.5,0.5,0.5,0.5,0.999999999407059,0.5,0.5,0.5,0.5,0.999999999407059,0.5,0.5,0.5,0.5,0.999982781674395,1.51965595866308,0,0,1,3D,2D,0.999982781674395,0.5,0.666662840328166,0.333337159671834,1,1,1.72183256045289e-05,1.71172837352329e-05,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.648154771505182,0.987288227976547,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846
101,1,14,A,0,1,a,63,1,1,0A,1A,1,0,1,0,A01,3.36729582998647,0.999982781674395,0.5,0.5,0.5,0.5,0.999999999407059,0.5,0.5,0.5,0.5,0.999999999407059,0.5,0.5,0.5,0.5,0.999999898958131,1.57665595866308,1,1,0,0A,1A,0.999982781674395,0.5,0.666662840328166,0.333337159671834,1,1,1.72183256045289e-05,1.71172837352329e-05,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.619797309608597,0.987325009906199,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846
101,1,15,C,3,2,l,63,1,1,3C,2C,0,1,0,1,C32,3.40119738166216,0.999999898958131,0.5,0.5,0.5,0.5,0.999999999407059,0.5,0.5,0.5,0.5,0.999999999407059,0.5,0.5,0.5,0.5,0.999999898958131,1.21565595866308,0,0,1,2C,3C,0.999999999407059,0.5,0.666666666534902,0.333333333465098,1,1,5.92941473698261e-10,5.89461930085156e-10,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.707667003266824,0.98732796642959,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846
101,1,16,A,2,0,l,27,1,1,2A,0A,0,1,0,1,A20,2.7408400239252,0.999999898958131,0.5,0.5,0.5,0.5,0.999999999407059,0.5,0.5,0.5,0.5,0.99999999999652,0.5,0.5,0.5,0.5,0.999999898958131,2.43265595866308,0,0,1,0A,2A,0.999999898958131,0.5,0.666666644212916,0.333333355787084,1,1,1.01041869315921e-07,1.00448927842555e-07,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.240394726957301,0.987421588971704,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846
101,1,17,D,3,2,a,63,1,1,3D,2D,1,0,1,0,D32,3.46573590279973,0.999999999407059,0.5,0.5,0.5,0.5,0.999999999407059,0.5,0.5,0.5,0.5,0.99999999999652,0.5,0.5,0.5,0.5,0.999999898958131,2.14765595866308,1,1,0,3D,2D,0.999999898958131,0.5,0.666666644212916,0.333333355787084,1,1,1.01041869315921e-07,1.00448927842555e-07,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.338099675046893,0.987383330139454,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846
101,1,18,D,2,3,l,63,1,1,2D,3D,0,1,0,1,D23,2.39789527279837,0.999999999407059,0.5,0.5,0.5,0.5,0.999999999407059,0.5,0.5,0.5,0.5,0.99999999999652,0.5,0.5,0.5,0.5,0.999999999407059,3.91665595866308,0,0,1,3D,2D,0.999999999407059,0.5,0.666666666534902,0.333333333465098,1,1,5.92941473698261e-10,5.89461930085156e-10,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.0393317619088421,0.987282178266048,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846
101,1,19,B,1,3,a,27,1,1,1B,3B,1,0,1,0,B13,2.83321334405622,0.999999999407059,0.5,0.5,0.5,0.5,0.999999999407059,0.5,0.5,0.5,0.5,0.99999999999652,0.5,0.5,0.5,0.5,0.99999999999652,1.09065595866308,1,1,0,1B,3B,0.999999999407059,0.5,0.666666666534902,0.333333333465098,1,1,5.92941473698261e-10,5.89461930085156e-10,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.620515316604412,0.987360160945042,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846
101,1,20,D,3,0,a,9,1,1,3D,0D,1,0,1,0,D30,3.55534806148941,0.999999999407059,0.5,0.5,0.5,0.5,0.99999999999652,0.5,0.5,0.5,0.5,0.99999999999652,0.5,0.5,0.5,0.5,0.99999999999652,1.06365595866308,1,1,0,3D,0D,0.99999999999652,0.5,0.666666666665893,0.333333333334107,1,1,3.4795499814777e-12,3.45913102538915e-12,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.586188765179707,0.987319424758016,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846
101,1,21,B,0,1,l,63,1,1,0B,1B,0,1,0,1,B01,2.484906649788,0.999999999407059,0.5,0.5,0.5,0.5,0.99999999999652,0.5,0.5,0.5,0.5,0.99999999999652,0.5,0.5,0.5,0.5,0.99999999999998,1.93065595866308,0,0,1,1B,0B,0.99999999999652,0.5,0.666666666665893,0.333333333334107,1,1,3.4795499814777e-12,3.45913102538915e-12,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.433986389918237,0.98727124124244,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846
101,1,22,A,0,1,a,63,1,1,0A,1A,1,0,1,0,A01,2.91777073208428,0.999999999407059,0.5,0.5,0.5,0.5,0.99999999999998,0.5,0.5,0.5,0.5,0.99999999999652,0.5,0.5,0.5,0.5,0.99999999999998,1.88865595866308,1,1,0,0A,1A,0.999999999407059,0.5,0.666666666534902,0.333333333465098,1,1,5.92941473698261e-10,5.89461930085156e-10,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.454658155635791,0.987338153372956,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846
101,1,23,C,3,2,l,63,1,1,3C,2C,0,1,0,1,C32,2.94443897916644,0.99999999999652,0.5,0.5,0.5,0.5,0.99999999999998,0.5,0.5,0.5,0.5,0.99999999999652,0.5,0.5,0.5,0.5,0.99999999999998,1.61665595866308,0,0,1,2C,3C,0.99999999999652,0.5,0.666666666665893,0.333333333334107,1,1,3.4795499814777e-12,3.45913102538915e-12,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.598573826616406,0.987296366535845,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846
101,1,24,A,2,0,l,27,1,1,2A,0A,0,1,0,1,A20,2.56494935746154,0.99999999999652,0.5,0.5,0.5,0.5,0.99999999999998,0.5,0.5,0.5,0.5,0.99999999999998,0.5,0.5,0.5,0.5,0.99999999999998,1.15465595866308,0,0,1,0A,2A,0.99999999999652,0.5,0.666666666665893,0.333333333334107,1,1,3.4795499814777e-12,3.45913102538915e-12,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.677553273627098,0.98731204580078,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846
101,1,25,B,0,1,l,63,1,1,0B,1B,0,1,0,1,B01,2.30258509299405,0.99999999999998,0.5,0.5,0.5,0.5,0.99999999999998,0.5,0.5,0.5,0.5,0.99999999999998,0.5,0.5,0.5,0.5,0.99999999999998,1.98065595866308,0,0,1,1B,0B,0.99999999999998,0.5,0.666666666666662,0.333333333333338,1,1,2.04281036531029e-14,2.03082259236018e-14,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.410212167204867,0.987371387351854,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846
101,1,26,D,3,2,a,63,1,1,3D,2D,1,0,1,0,D32,3.02042488614436,0.99999999999998,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.99999999999998,0.5,0.5,0.5,0.5,0.99999999999998,2.03965595866308,1,1,0,3D,2D,0.99999999999998,0.5,0.666666666666662,0.333333333333338,1,1,2.04281036531029e-14,2.03082259236018e-14,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.383481239539928,0.987340797749878,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846
101,1,27,B,2,1,l,9,1,1,2B,1B,0,1,0,1,B21,3.73766961828337,0.99999999999998,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.99999999999998,0.5,0.5,0.5,0.5,1,1.29565595866308,0,0,1,1B,2B,1,0.5,0.666666666666667,0.333333333333333,1,1,1.11022302462516e-16,1.10370793063053e-16,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.716509805422885,0.987215271020529,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846
101,1,28,D,3,1,a,27,1,1,3D,1D,1,0,1,0,D31,3.76120011569356,0.99999999999998,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.99999999999998,0.5,0.5,0.5,0.5,1,1.33265595866308,1,1,0,3D,1D,1,0.5,0.666666666666667,0.333333333333333,1,1,1.11022302462516e-16,1.10370793063053e-16,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.715120090533863,0.987385473583384,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846
101,1,29,A,0,1,a,63,1,1,0A,1A,1,0,1,0,A01,2.68557734525015,0.99999999999998,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.99999999999998,0.5,0.5,0.5,0.5,1,1.34165595866308,1,1,0,0A,1A,0.99999999999998,0.5,0.666666666666662,0.333333333333338,1,1,2.04281036531029e-14,2.03082259236018e-14,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.712751764138173,0.987318226678975,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846
101,1,30,A,1,0,l,63,1,1,1A,0A,0,1,0,1,A10,3.11351530921037,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.99999999999998,0.5,0.5,0.5,0.5,1,0.855655958663083,0,0,1,0A,1A,1,0.5,0.666666666666667,0.333333333333333,1,1,1.11022302462516e-16,1.10370793063053e-16,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.168479725947345,0.987375203849443,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846
101,1,31,C,2,0,a,27,1,1,2C,0C,1,0,1,0,C20,3.13549421592915,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.99999999999998,0.5,0.5,0.5,0.5,1,1.78665595866308,1,1,0,2C,0C,0.99999999999998,0.5,0.666666666666662,0.333333333333338,1,1,2.04281036531029e-14,2.03082259236018e-14,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.507340188452027,0.987372231993512,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846
101,1,32,A,0,1,a,63,1,1,0A,1A,1,0,1,0,A01,2.46385324059017,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,1,3.26965595866308,1,1,0,0A,1A,1,0.5,0.666666666666667,0.333333333333333,1,1,0,0,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.0867113540030435,0.987328777195604,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846
101,1,33,B,0,1,l,63,1,1,0B,1B,0,1,0,1,B01,2.26176309847379,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,1,1.21565595866308,0,0,1,1B,0B,1,0.5,0.666666666666667,0.333333333333333,1,1,0,0,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.707437569363667,0.987312553390005,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846
101,1,34,D,2,3,l,63,1,1,2D,3D,0,1,0,1,D23,2.50552593699074,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,1,1.14365595866308,0,0,1,3D,2D,1,0.5,0.666666666666667,0.333333333333333,1,1,0,0,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.668954921946346,0.987264002424073,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846
101,1,35,B,1,3,a,27,1,1,1B,3B,1,0,1,0,B13,2.81341071676004,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,1,1.43565595866308,1,1,0,1B,3B,1,0.5,0.666666666666667,0.333333333333333,1,1,0,0,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.685927670606043,0.987387821226099,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846
101,1,36,C,2,3,a,63,1,1,2C,3C,1,0,1,0,C23,2.83321334405622,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,1,1.49765595866308,1,1,0,2C,3C,1,0.5,0.666666666666667,0.333333333333333,1,1,1.11022302462516e-16,1.10370793063053e-16,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.658800634864449,0.987318960317448,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846
101,1,37,C,0,2,l,27,1,1,0C,2C,0,1,0,1,C02,3.95124371858143,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,1,1.73865595866308,0,0,1,2C,0C,1,0.5,0.666666666666667,0.333333333333333,1,1,0,0,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.532948796830372,0.987345947461322,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846
101,1,38,B,0,1,l,63,1,1,0B,1B,0,1,0,1,B01,2.17853244432407,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,1,1.94965595866308,1,1,0,0B,1B,0.5,1,0.333333333333333,0.666666666666667,0,0,-0.5,-0.497065862511352,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.00543987143929895,0.0126426560872629,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846
101,1,39,A,0,3,a,9,1,1,0A,3A,1,0,1,0,A03,3.98898404656427,1,0.5,0.5,0.5,0.00293413748864807,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,1,1.14565595866308,1,1,0,0A,3A,1,0.5,0.666666666666667,0.333333333333333,1,1,0,0,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.671760752104501,0.987348977061996,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846
